,Drama,Comedy,Thriller,Action,Documentary,Family,Adventure,Fantasy
Disney,6.409259259259263,6.185765124555163,6.2124999999999995,6.662500000000002,6.880645161290321,6.312587412587407,6.594573643410856,6.525000000000002
Hulu,6.266590389016019,6.05481481481481,5.886757990867579,6.014728682170543,6.879389312977096,5.769230769230769,6.253211009174312,6.116883116883118
Netflix,6.350439486139281,6.165554693560906,5.933850931677021,6.0313075506445735,6.925352112676053,6.078640776699028,6.086750788643528,6.110629921259841
Prime,5.983152985074632,5.76987870619946,5.187668075297736,5.241432098765434,6.950656018254427,5.857887120115773,5.241884816753919,5.241252006420542
