,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
876,876,Hangar 1: The UFO Files,2015,7+,7.4,,1,1,1,0,1
878,878,Marlon,2017,7+,7.0,,1,1,0,0,1
907,907,The Dick Van Dyke Show,1961,all,6.8,,1,1,0,0,1
923,923,Pocoyo,2005,all,7.5,,1,1,1,0,1
926,926,Skin Wars,2014,16+,7.1,,1,1,0,0,1
927,927,Dueños del Paraíso,2015,16+,7.1,,1,1,0,0,1
934,934,Great British Menu,2006,,7.3,,1,1,0,0,1
959,959,Nazi Megastructures,2013,all,8.0,,1,1,0,0,1
966,966,El Clon,2000,,6.8,,1,1,0,0,1
996,996,Yu-Gi-Oh! Arc-V,2014,7+,6.2,,1,1,1,0,1
999,999,America's Book of Secrets,2012,7+,7.0,,1,1,1,0,1
1023,1023,Fated to Love You,2008,7+,7.4,,1,1,0,0,1
1025,1025,The Bachelor,2002,16+,3.2,,1,1,0,0,1
1039,1039,Rabbids Invasion,2013,7+,5.0,,1,1,0,0,1
1124,1124,Chuggington,2008,all,5.9,,1,1,0,0,1
1127,1127,Steampunk'd,2015,,5.8,,1,1,0,0,1
1224,1224,Nura: Rise of the Yokai Clan,2010,,7.6,,1,1,0,0,1
1258,1258,Oddbods,2015,7+,6.3,,1,1,1,0,1
1321,1321,Yu-Gi-Oh! Zexal,2011,7+,4.8,,1,1,1,0,1
1340,1340,Inside the Criminal Mind,2018,18+,5.4,,1,1,0,0,1
1355,1355,LEGO Friends,2012,all,5.2,,1,1,1,0,1
1388,1388,The New Adventures of Figaro Pho,2015,all,7.1,,1,1,0,0,1
1391,1391,Monster Fish,2007,,6.7,,1,1,0,0,1
1480,1480,The Rap Game,2016,7+,5.3,,1,1,0,0,1
1556,1556,Jack Hanna's Into the Wild,2007,,7.7,,1,1,0,0,1
1562,1562,Polly Pocket,2018,7+,6.4,,1,1,0,0,1
1574,1574,Corazón Valiente,2017,,,,1,1,0,0,1
1604,1604,Pororo the Little Penguin,2003,all,5.8,,1,1,1,0,1
1657,1657,Tayo the Little Bus,2010,,5.5,,1,1,1,0,1
1931,1931,Rick and Morty,2013,18+,9.2,94%,0,1,0,0,1
1932,1932,Fargo,2014,18+,8.9,96%,0,1,0,0,1
1933,1933,Vikings,2013,18+,8.5,93%,0,1,1,0,1
1934,1934,Brooklyn Nine-Nine,2013,16+,8.4,97%,0,1,0,0,1
1935,1935,The Simpsons,1989,7+,8.7,85%,0,1,0,1,1
1936,1936,Lost,2004,16+,8.3,85%,0,1,0,0,1
1937,1937,Prison Break,2005,16+,8.3,60%,0,1,0,0,1
1938,1938,Modern Family,2009,16+,8.4,86%,0,1,0,0,1
1939,1939,Firefly,2002,16+,9.0,85%,0,1,0,0,1
1940,1940,Seinfeld,1989,7+,8.8,88%,0,1,0,0,1
1941,1941,It's Always Sunny in Philadelphia,2005,18+,8.8,96%,0,1,0,0,1
1942,1942,Killing Eve,2018,16+,8.3,90%,0,1,0,0,1
1943,1943,South Park,1997,18+,8.7,81%,0,1,0,0,1
1944,1944,How I Met Your Mother,2005,16+,8.3,83%,0,1,0,0,1
1945,1945,Futurama,1999,16+,8.4,95%,0,1,0,0,1
1946,1946,The Handmaid's Tale,2017,18+,8.5,88%,0,1,0,0,1
1947,1947,Sons of Anarchy,2008,18+,8.6,87%,0,1,0,0,1
1948,1948,Gravity Falls,2012,7+,8.9,100%,0,1,0,1,1
1949,1949,What We Do in the Shadows,2019,18+,8.4,97%,0,1,0,0,1
1950,1950,Archer,2009,18+,8.6,91%,0,1,0,0,1
1951,1951,This Is Us,2016,16+,8.7,92%,0,1,0,0,1
1952,1952,Pride and Prejudice,1995,all,8.9,88%,0,1,1,0,1
1953,1953,Justified,2010,18+,8.6,97%,0,1,0,0,1
1954,1954,Scrubs,2001,7+,8.3,83%,0,1,0,0,1
1955,1955,The X-Files,1993,16+,8.6,75%,0,1,0,0,1
1956,1956,My Hero Academia,2016,16+,8.5,100%,0,1,0,0,1
1957,1957,Adventure Time,2010,7+,8.6,100%,0,1,0,0,1
1958,1958,24,2001,16+,8.3,86%,0,1,0,0,1
1959,1959,White Collar,2009,16+,8.2,96%,0,1,0,0,1
1960,1960,Friday Night Lights,2006,7+,8.7,97%,0,1,0,0,1
1961,1961,Mr. Bean,1990,all,8.5,100%,0,1,1,0,1
1962,1962,Buffy the Vampire Slayer,1997,7+,8.2,82%,0,1,0,0,1
1963,1963,Bob's Burgers,2011,16+,8.1,91%,0,1,0,0,1
1964,1964,30 Rock,2006,16+,8.2,85%,0,1,1,0,1
1965,1965,Legion,2017,16+,8.3,91%,0,1,0,0,1
1966,1966,Elementary,2012,16+,7.9,95%,0,1,0,0,1
1967,1967,Taboo,2017,16+,8.4,76%,0,1,0,0,1
1968,1968,Atlanta,2016,18+,8.6,97%,0,1,0,0,1
1969,1969,The Shield,2002,18+,8.7,90%,0,1,0,0,1
1970,1970,Normal People,2020,,8.8,83%,0,1,0,0,1
1971,1971,The Office,2001,16+,8.5,96%,0,1,0,0,1
1972,1972,Black Books,2000,7+,8.5,100%,0,1,1,0,1
1973,1973,Naruto Shippūden,2007,7+,8.6,,0,1,0,0,1
1974,1974,09-01-2001,2018,16+,7.7,81%,0,1,0,0,1
1975,1975,Misfits,2009,18+,8.2,92%,0,1,0,0,1
1976,1976,Veronica Mars,2004,16+,8.3,92%,0,1,0,0,1
1977,1977,11.22.63,2016,18+,8.2,80%,0,1,0,0,1
1978,1978,Frasier,1993,7+,8.0,93%,0,1,0,0,1
1979,1979,Line of Duty,2012,18+,8.6,97%,0,1,0,0,1
1980,1980,Bones,2005,16+,7.8,90%,0,1,1,0,1
1981,1981,Steins;Gate,2011,16+,8.8,100%,0,1,0,0,1
1982,1982,The Killing,2011,18+,8.2,69%,0,1,0,0,1
1983,1983,The Good Doctor,2017,16+,8.2,,0,1,0,0,1
1984,1984,Preacher,2016,18+,8.0,87%,0,1,0,0,1
1985,1985,The Orville,2017,16+,8.0,65%,0,1,0,0,1
1986,1986,Peep show,2003,18+,8.6,96%,0,1,1,0,1
1987,1987,Desperate Housewives,2004,7+,7.4,72%,0,1,0,0,1
1988,1988,RuPaul's Drag Race,2009,16+,8.5,83%,0,1,1,0,1
1989,1989,Battlestar Galactica,2004,16+,8.6,82%,0,1,0,0,1
1990,1990,Over the Garden Wall,2014,7+,8.8,88%,0,1,0,0,1
1991,1991,Revenge,2011,16+,7.8,69%,0,1,0,0,1
1992,1992,Tokyo Ghoul,2014,18+,7.9,100%,0,1,0,0,1
1993,1993,Superstore,2015,16+,7.8,92%,0,1,0,0,1
1994,1994,Lie to Me,2009,16+,8.0,78%,0,1,0,0,1
1995,1995,One Piece,1999,7+,8.7,,0,1,0,0,1
1996,1996,Spaced,1999,18+,8.6,100%,0,1,0,0,1
1997,1997,12 Monkeys,2015,16+,7.7,88%,0,1,0,0,1
1998,1998,Blue Bloods,2010,16+,7.5,91%,0,1,1,0,1
1999,1999,Devs,2020,18+,7.8,81%,0,1,0,0,1
2000,2000,The Rookie,2018,16+,8.1,68%,0,1,0,0,1
2001,2001,DAVE,2020,18+,8.4,62%,0,1,0,0,1
2002,2002,Younger,2015,16+,7.8,99%,0,1,0,0,1
2003,2003,Food Wars! Shokugeki no Soma,2015,18+,8.3,,0,1,0,0,1
2004,2004,Smallville,2001,7+,7.4,78%,0,1,0,0,1
2005,2005,Dirk Gently's Holistic Detective Agency,2016,16+,8.3,85%,0,1,0,0,1
2006,2006,Broad City,2014,18+,8.4,99%,0,1,0,0,1
2007,2007,Workaholics,2011,18+,8.1,86%,0,1,1,0,1
2008,2008,Dead Like Me,2003,16+,8.1,87%,0,1,1,0,1
2009,2009,Nathan For You,2013,16+,8.8,97%,0,1,0,0,1
2010,2010,Angel,1999,7+,7.9,88%,0,1,0,0,1
2011,2011,Timeless,2016,7+,7.7,91%,0,1,0,0,1
2012,2012,Castle Rock,2018,18+,7.6,87%,0,1,0,0,1
2013,2013,Fresh Off the Boat,2015,7+,7.8,94%,0,1,0,0,1
2014,2014,You're the Worst,2014,18+,8.1,95%,0,1,0,0,1
2015,2015,The Affair,2014,18+,7.9,86%,0,1,0,0,1
2016,2016,Elfen Lied,2004,18+,8.0,100%,0,1,1,0,1
2017,2017,The Last Ship,2014,16+,7.5,83%,0,1,0,0,1
2018,2018,Everybody Hates Chris,2005,7+,7.4,95%,0,1,0,0,1
2019,2019,Raising Hope,2010,16+,8.0,96%,0,1,0,0,1
2020,2020,Boston Legal,2004,16+,8.4,86%,0,1,0,0,1
2021,2021,Cowboy Bebop,1998,18+,8.9,,0,1,0,0,1
2022,2022,The Terror,2018,18+,8.0,87%,0,1,0,0,1
2023,2023,Stargate SG-1,1997,7+,8.4,,0,1,1,0,1
2024,2024,Future Man,2017,18+,7.8,91%,0,1,0,0,1
2025,2025,Inside No. 9,2014,18+,8.5,100%,0,1,0,0,1
2026,2026,Zoey's Extraordinary Playlist,2020,16+,8.1,74%,0,1,0,0,1
2027,2027,The Strain,2014,18+,7.3,79%,0,1,0,0,1
2028,2028,The Venture Bros.,2004,18+,8.5,92%,0,1,0,0,1
2029,2029,Demon Slayer: Kimetsu no Yaiba,2019,18+,8.8,,0,1,0,0,1
2030,2030,The League,2009,18+,8.2,81%,0,1,0,0,1
2031,2031,Parenthood,2010,7+,8.2,88%,0,1,0,0,1
2032,2032,Samurai Champloo,2004,18+,8.5,88%,0,1,0,0,1
2033,2033,Mrs. America,2020,18+,7.5,96%,0,1,0,0,1
2034,2034,Marvel's Runaways,2017,16+,7.0,87%,0,1,0,1,1
2035,2035,Please Like Me,2013,18+,8.5,100%,0,1,0,0,1
2036,2036,My Name Is Earl,2005,16+,7.7,82%,0,1,0,0,1
2037,2037,Little Fires Everywhere,2020,18+,7.7,77%,0,1,0,0,1
2038,2038,The Act,2019,18+,8.0,89%,0,1,0,0,1
2039,2039,Dollhouse,2009,16+,7.7,72%,0,1,0,0,1
2040,2040,Southland,2009,16+,8.4,87%,0,1,0,0,1
2041,2041,Dragon Ball,1986,16+,8.5,,0,1,0,0,1
2042,2042,Damages,2007,18+,8.1,91%,0,1,0,0,1
2043,2043,Looking for Alaska,2019,18+,8.1,92%,0,1,0,0,1
2044,2044,American Dad!,2005,16+,7.3,,0,1,0,0,1
2045,2045,Legend of the Seeker,2008,16+,7.6,42%,0,1,0,0,1
2046,2046,The Exorcist,2016,16+,8.1,89%,0,1,0,0,1
2047,2047,Awkward.,2011,16+,7.5,78%,0,1,1,0,1
2048,2048,Brockmire,2017,18+,8.1,98%,0,1,0,0,1
2049,2049,High Fidelity,2020,18+,7.6,85%,0,1,0,0,1
2050,2050,Better Things,2016,7+,7.7,97%,0,1,0,0,1
2051,2051,Happy Endings,2011,16+,7.7,78%,0,1,0,0,1
2052,2052,Fear the Walking Dead,2015,18+,6.9,73%,0,1,0,0,1
2053,2053,TRIGUN,1998,7+,8.3,100%,0,1,0,0,1
2054,2054,In the Flesh,2013,18+,8.0,97%,0,1,0,0,1
2055,2055,The Bridge,2011,18+,8.6,,0,1,0,0,1
2056,2056,Chicago P.D.,2014,16+,8.1,,0,1,1,0,1
2057,2057,Better Off Ted,2009,7+,8.2,89%,0,1,0,0,1
2058,2058,The Gifted,2017,16+,7.4,79%,0,1,0,0,1
2059,2059,Lethal Weapon,2016,16+,7.9,89%,0,1,0,0,1
2060,2060,The Last Man on Earth,2015,16+,7.3,84%,0,1,0,0,1
2061,2061,Chicago Fire,2012,16+,7.9,,0,1,0,0,1
2062,2062,Sleepy Hollow,2013,16+,7.4,77%,0,1,0,0,1
2063,2063,Rescue Me,2004,18+,8.3,89%,0,1,0,0,1
2064,2064,Horace and Pete,2016,18+,8.5,96%,0,1,0,0,1
2065,2065,Snowfall,2017,18+,8.0,81%,0,1,0,0,1
2066,2066,Shadowhunters,2016,16+,6.6,76%,0,1,0,0,1
2067,2067,Top of the Lake,2013,18+,7.5,82%,0,1,0,0,1
2068,2068,Prime Suspect,1991,18+,8.4,100%,0,1,0,0,1
2069,2069,Deutschland,2015,18+,8.1,94%,0,1,0,0,1
2070,2070,Rizzoli & Isles,2010,16+,7.6,72%,0,1,0,0,1
2071,2071,Stargate Universe,2009,16+,7.6,70%,0,1,1,0,1
2072,2072,Key & Peele,2012,18+,8.3,97%,0,1,0,0,1
2073,2073,The Mighty Boosh,2004,16+,8.3,100%,0,1,0,0,1
2074,2074,Blindspot,2015,16+,7.4,,0,1,0,0,1
2075,2075,Stumptown,2019,16+,7.5,92%,0,1,0,0,1
2076,2076,The Mindy Project,2012,16+,7.4,86%,0,1,0,0,1
2077,2077,Empire,2015,16+,7.4,84%,0,1,0,0,1
2078,2078,Quantum Leap,1989,7+,8.1,,0,1,0,0,1
2079,2079,The Librarians,2014,16+,7.3,89%,0,1,0,0,1
2080,2080,The Middle,2009,7+,7.5,,0,1,0,0,1
2081,2081,The Resident,2018,16+,7.6,,0,1,0,0,1
2082,2082,Manifest,2018,16+,7.2,57%,0,1,0,0,1
2083,2083,Saturday Night Live,1975,16+,8.1,,0,1,0,0,1
2084,2084,Survivor,2000,7+,7.2,,0,1,1,0,1
2085,2085,Nip/Tuck,2003,18+,7.6,75%,0,1,0,0,1
2086,2086,New Amsterdam,2018,16+,8.1,34%,0,1,0,0,1
2087,2087,Hellsing Ultimate,2006,18+,8.3,80%,0,1,0,0,1
2088,2088,Steven Universe,2013,7+,8.2,,0,1,0,0,1
2089,2089,Drake & Josh,2004,7+,7.7,,0,1,0,0,1
2090,2090,Ugly Betty,2006,7+,6.5,97%,0,1,0,0,1
2091,2091,black-ish,2014,7+,7.1,91%,0,1,0,0,1
2092,2092,Marvel's Cloak & Dagger,2018,16+,6.7,87%,0,1,0,0,1
2093,2093,Wilfred,2011,18+,7.8,83%,0,1,0,0,1
2094,2094,Catch-22,2019,18+,7.8,84%,0,1,0,0,1
2095,2095,Stargate Atlantis,2004,7+,8.1,,0,1,1,0,1
2096,2096,M*A*S*H,1972,7+,8.4,,0,1,0,0,1
2097,2097,Invader Zim,2001,7+,8.3,100%,0,1,0,0,1
2098,2098,For Life,2020,16+,7.5,86%,0,1,0,0,1
2099,2099,Wayward Pines,2015,16+,7.4,61%,0,1,0,0,1
2100,2100,Sailor Moon,1992,16+,7.7,90%,0,1,0,0,1
2101,2101,Home Movies,1999,7+,8.0,100%,0,1,0,0,1
2102,2102,Mr Inbetween,2018,18+,8.3,95%,0,1,0,0,1
2103,2103,Mayans M.C.,2018,18+,7.5,86%,0,1,0,0,1
2104,2104,The Unit,2006,16+,8.1,84%,0,1,0,0,1
2105,2105,I Love Lucy,1951,all,8.4,,0,1,0,0,1
2106,2106,Nashville,2012,7+,7.7,90%,0,1,0,0,1
2107,2107,NYPD Blue,1993,18+,7.5,84%,0,1,1,0,1
2108,2108,Ramy,2019,18+,8.0,97%,0,1,0,0,1
2109,2109,Don't Trust the B---- in Apartment 23,2012,16+,7.3,85%,0,1,0,0,1
2110,2110,MythBusters,2003,7+,8.3,,0,1,0,0,1
2111,2111,The Goldbergs,2013,7+,8.1,,0,1,0,0,1
2112,2112,Letterkenny,2016,18+,8.7,,0,1,0,0,1
2113,2113,Cougar Town,2009,7+,6.9,89%,0,1,1,0,1
2114,2114,Regular Show,2010,7+,8.4,,0,1,0,0,1
2115,2115,Motherland: Fort Salem,2020,16+,6.9,58%,0,1,0,0,1
2116,2116,Bunheads,2012,16+,7.6,100%,0,1,0,0,1
2117,2117,CSI: Crime Scene Investigation,2000,16+,7.6,,0,1,0,0,1
2118,2118,One Tree Hill,2003,16+,7.6,,0,1,0,0,1
2119,2119,Afro Samurai,2007,18+,7.7,100%,0,1,0,0,1
2120,2120,Graceland,2013,16+,7.7,86%,0,1,0,0,1
2121,2121,Scream Queens,2015,16+,7.1,75%,0,1,0,0,1
2122,2122,Genius,2017,7+,8.4,70%,0,1,0,0,1
2123,2123,The Looming Tower,2018,18+,8.0,88%,0,1,0,0,1
2124,2124,The Promised Neverland,2019,18+,8.8,,0,1,0,0,1
2125,2125,Pinky and the Brain,1995,all,7.9,75%,0,1,0,0,1
2126,2126,Married... with Children,1987,7+,8.0,,0,1,0,0,1
2127,2127,Last Man Standing,2011,16+,7.6,,0,1,0,0,1
2128,2128,Emergence,2019,16+,7.2,94%,0,1,0,0,1
