,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
1909,1909,My Little Baby,2016,,,,1,0,1,0,1
1933,1933,Vikings,2013,18+,8.5,93%,0,1,1,0,1
1952,1952,Pride and Prejudice,1995,all,8.9,88%,0,1,1,0,1
1961,1961,Mr. Bean,1990,all,8.5,100%,0,1,1,0,1
1964,1964,30 Rock,2006,16+,8.2,85%,0,1,1,0,1
1972,1972,Black Books,2000,7+,8.5,100%,0,1,1,0,1
1980,1980,Bones,2005,16+,7.8,90%,0,1,1,0,1
1986,1986,Peep show,2003,18+,8.6,96%,0,1,1,0,1
1988,1988,RuPaul's Drag Race,2009,16+,8.5,83%,0,1,1,0,1
1998,1998,Blue Bloods,2010,16+,7.5,91%,0,1,1,0,1
2007,2007,Workaholics,2011,18+,8.1,86%,0,1,1,0,1
2008,2008,Dead Like Me,2003,16+,8.1,87%,0,1,1,0,1
2016,2016,Elfen Lied,2004,18+,8.0,100%,0,1,1,0,1
2023,2023,Stargate SG-1,1997,7+,8.4,,0,1,1,0,1
2047,2047,Awkward.,2011,16+,7.5,78%,0,1,1,0,1
2056,2056,Chicago P.D.,2014,16+,8.1,,0,1,1,0,1
2071,2071,Stargate Universe,2009,16+,7.6,70%,0,1,1,0,1
2084,2084,Survivor,2000,7+,7.2,,0,1,1,0,1
2095,2095,Stargate Atlantis,2004,7+,8.1,,0,1,1,0,1
2107,2107,NYPD Blue,1993,18+,7.5,84%,0,1,1,0,1
2113,2113,Cougar Town,2009,7+,6.9,89%,0,1,1,0,1
2131,2131,Blackadder,1983,7+,8.1,,0,1,1,0,1
2132,2132,The Hitchhiker's Guide to the Galaxy,1981,7+,8.0,67%,0,1,1,0,1
2165,2165,Sesame Street,1969,all,8.1,,0,1,1,0,1
2166,2166,Hell's Kitchen,2005,16+,7.1,,0,1,1,0,1
2169,2169,The Amazing Race,2001,7+,7.6,,0,1,1,0,1
2180,2180,Ghost Whisperer,2005,7+,6.3,,0,1,1,0,1
2191,2191,Psycho-Pass,2012,16+,8.2,,0,1,1,0,1
2195,2195,Shameless,2004,18+,8.0,,0,1,1,0,1
2196,2196,Yu Yu Hakusho,1992,16+,8.4,100%,0,1,1,0,1
2202,2202,Flashpoint,2008,16+,7.7,,0,1,1,0,1
2237,2237,America's Next Top Model,2003,7+,5.5,,0,1,1,0,1
2259,2259,Rugrats,1991,all,7.4,,0,1,1,0,1
2267,2267,Spiral,2005,7+,8.5,,0,1,1,0,1
2274,2274,Dawson's Creek,1998,16+,6.6,,0,1,1,0,1
2277,2277,Forged in Fire,2015,7+,8.4,,0,1,1,0,1
2279,2279,Robin of Sherwood,1984,,8.5,,0,1,1,0,1
2282,2282,Yu-Gi-Oh! GX,2004,all,6.7,,0,1,1,0,1
2283,2283,The League of Gentlemen,1999,18+,8.4,,0,1,1,0,1
2285,2285,Silent Witness,1996,16+,7.8,,0,1,1,0,1
2302,2302,How the Universe Works,2010,7+,9.0,,0,1,1,0,1
2307,2307,The Outer Limits,1995,18+,7.7,,0,1,1,0,1
2318,2318,Darker than Black,2007,16+,7.7,,0,1,1,0,1
2325,2325,Highlander: The Series,1992,16+,7.2,,0,1,1,0,1
2333,2333,Sense and Sensibility,2008,16+,8.0,,0,1,1,0,1
2343,2343,Survivorman,2004,7+,8.2,,0,1,1,0,1
2346,2346,River Monsters,2009,7+,8.2,,0,1,1,0,1
2353,2353,Man vs. Wild,2006,7+,8.1,,0,1,1,0,1
2358,2358,DCI Banks,2011,18+,7.6,,0,1,1,0,1
2364,2364,Kenichi The Mightiest Disciple,2006,16+,8.2,,0,1,1,0,1
2365,2365,The Joy of Painting,1983,all,9.4,,0,1,1,0,1
2368,2368,McLeod's Daughters,2001,16+,7.2,,0,1,1,0,1
2387,2387,The Pink Panther Show,1964,all,7.6,,0,1,1,0,1
2388,2388,The Guardian,2001,7+,7.4,,0,1,1,0,1
2392,2392,Wolfblood,2013,7+,7.7,,0,1,1,0,1
